PERMIT NUMBER,PERMIT TYPE,PERMIT STATUS,PERMIT SUB-TYPE,WORK DESCRIPTION,PERMIT ISSUE DATE,ESTIMATED VALUE OF WORK,STATE VALUATION,CONTRACTOR,LOCATION,COUNT
PG 15-134513-GSF,Plumbing/Gasfitting/Inside Water Piping,Inspected,Gasfitting Only,Residential Replace,"TUESDAY, JUNE 30, 2015",$300.00,,Mr JOHN TOMAS PIPERIGHT PLUMBING INC,"42 FRONT AVE
Saint Paul, MN
(44.97028, -93.101932)",1
PG 15-134585-PLB,Plumbing/Gasfitting/Inside Water Piping,Inspected,Plumbing/Inside Water (All),Residential Replace,"TUESDAY, JUNE 30, 2015",$1000.00,,ROBIN JERDE RIGHTMARK LLC,"188 WYOMING ST E
Saint Paul, MN
(44.920415, -93.0773)",1
PG 15-134657-PLB,Plumbing/Gasfitting/Inside Water Piping,Inspected,Plumbing/Inside Water (All),Residential Repair,"TUESDAY, JUNE 30, 2015",$3000.00,,ANDREW POPE POPE PLUMBING,"56 GEORGE ST E
Saint Paul, MN
(44.929696, -93.082915)",1
PG 15-134673-PLB,Plumbing/Gasfitting/Inside Water Piping,Inspected,Plumbing/Inside Water (All),Commercial Alter,"TUESDAY, JUNE 30, 2015",$8000.00,,MICHAEL JUSTEN JUSTEN PLUMBING INC,"2200 UNIVERSITY AVE W - MINNESOTA GASTROENTEROLOGY PA
Saint Paul, MN
(44.961331, -93.191241)",1
PG 15-134697-PLB,Plumbing/Gasfitting/Inside Water Piping,Inspected,Plumbing/Inside Water (All),Residential Alter,"TUESDAY, JUNE 30, 2015",$1800.00,,JOHN WILDER MR ROOTER PLUMBING OF THE TWIN CITIES,"416 DALY ST
Saint Paul, MN
(44.928681, -93.127004)",1
PG 15-134762-PLB,Plumbing/Gasfitting/Inside Water Piping,Inspected,Plumbing/Inside Water (All),Residential Replace,"TUESDAY, JUNE 30, 2015",$6000.00,,JAMES MURR JIM MURR PLUMBING INC,"632 EDMUND AVE
Saint Paul, MN
(44.958432, -93.127)",1
PG 15-134766-GSF,Plumbing/Gasfitting/Inside Water Piping,Inspected,Gasfitting Only,Commercial Replace,"TUESDAY, JUNE 30, 2015",$500.00,,SPRIGGS PLBG & HTG CO INC,"530 VICTORIA ST S
Saint Paul, MN
(44.925288, -93.136419)",1
PG 15-134840-PLB,Plumbing/Gasfitting/Inside Water Piping,Inspected,Plumbing/Inside Water (All),Residential Replace,"TUESDAY, JUNE 30, 2015",$4000.00,,Mr ISAIAH COKER IKE'S PLUMBING & DRAIN CLEANING INC,"941 FREMONT AVE
Saint Paul, MN
(44.957664, -93.060701)",1
PG 15-134902-PLB,Plumbing/Gasfitting/Inside Water Piping,Inspected,Plumbing/Inside Water (All),Residential Replace,"TUESDAY, JUNE 30, 2015",$700.00,,DANA HOAGLAND DANA HOAGLAND PLUMBING INC,"418 EARL ST
Saint Paul, MN
(44.953898, -93.055753)",1
PG 15-134951-GSF,Plumbing/Gasfitting/Inside Water Piping,Inspected,Gasfitting Only,Residential Replace,"TUESDAY, JUNE 30, 2015",$5200.00,,DANIEL PERZICHILLI MASTER GAS FITTERS INC,"1944 HIGHLAND PKWY
Saint Paul, MN
(44.919671, -93.182585)",1
SP 15-135228-SPL,Stucco/Plaster,Active/Issued,Stucco/Plaster,Residential Repair/Alter,"TUESDAY, JUNE 30, 2015",$2000.00,,NEW GENERATION BUILDERS LLC,"2252 FAIRMOUNT AVE
Saint Paul, MN
(44.937028, -93.195434)",1
SP 15-135360-SPL,Stucco/Plaster,Active/Issued,Stucco/Plaster,Residential Repair/Alter,"TUESDAY, JUNE 30, 2015",$5000.00,,STEPHEN P DONNELLY CO,"26 KENWOOD PKWY
Saint Paul, MN
(44.935802, -93.127864)",1
W 15-130383-VEN,"Warm Air, Ventilation & General Sheet ",Active/Issued,Ventilation Only,Residential Repair/Alter,"TUESDAY, JUNE 30, 2015",$2000.00,,RICK BINDER BINDER HEATING & A/C INC,"492 OTIS AVE
Saint Paul, MN
(44.954429, -93.20338)",1
W 15-130871-WRM,"Warm Air, Ventilation & General Sheet ",Active/Issued,Warm Air Only,Residential Replace,"TUESDAY, JUNE 30, 2015",$3000.00,,DAVID DAHER FREEDOM HEATING & AIR CONDITIONING INC,"2250 EDGEBROOK AVE
Saint Paul, MN
(44.937736, -93.005617)",1
W 15-133577-WRM,"Warm Air, Ventilation & General Sheet ",Active/Issued,Warm Air Only,Residential Replace,"TUESDAY, JUNE 30, 2015",$2400.00,,DAVID REILAND METRO HEATING AND COOLING LLC,"556 YORK AVE
Saint Paul, MN
(44.968411, -93.076977)",1
W 15-135075-WAV,"Warm Air, Ventilation & General Sheet ",Active/Issued,Warm Air & Ventilation,Commercial Replace,"TUESDAY, JUNE 30, 2015",$89000.00,,ROBERT SKEIE COMMERCIAL PLBG & HTG INC,"400 SIBLEY ST - PARK SQUARE COURT
Saint Paul, MN
",1
W 15-133640-VEN,"Warm Air, Ventilation & General Sheet ",Inspected,Ventilation Only,Residential Replace,"TUESDAY, JUNE 30, 2015",$500.00,,AIRIC'S HEATING LLC,"220 WINONA ST E
Saint Paul, MN
(44.921319, -93.076012)",1
W 15-133737-WRM,"Warm Air, Ventilation & General Sheet ",Inspected,Warm Air Only,Residential Replace,"TUESDAY, JUNE 30, 2015",$1723.00,,BRUCE STRANDBERG BWS COMMERCIAL CONSTRUCTION,"1214 COOK AVE E
Saint Paul, MN
(44.973025, -93.049326)",1
W 15-134620-WAV,"Warm Air, Ventilation & General Sheet ",Inspected,Warm Air & Ventilation,Residential New,"TUESDAY, JUNE 30, 2015",$12000.00,,CHRIS FRIEND SUSTAINABLE HEATING & COOLING INC,"1944 HIGHLAND PKWY
Saint Paul, MN
(44.919671, -93.182585)",1
W 15-134630-WAV,"Warm Air, Ventilation & General Sheet ",Inspected,Warm Air & Ventilation,Residential Replace,"TUESDAY, JUNE 30, 2015",$8000.00,,DAVID DAHER FREEDOM HEATING & AIR CONDITIONING INC,"1898 CARROLL AVE
Saint Paul, MN
(44.950505, -93.180541)",1
W 15-134881-WRM,"Warm Air, Ventilation & General Sheet ",Inspected,Warm Air Only,Residential Repair/Alter,"TUESDAY, JUNE 30, 2015",$350.00,,JAMES BOEHM BOEHM HEATING CO,"272 WOODLAWN AVE
Saint Paul, MN
(44.933384, -93.196173)",1
W 15-134885-WRM,"Warm Air, Ventilation & General Sheet ",Inspected,Warm Air Only,Residential Repair/Alter,"TUESDAY, JUNE 30, 2015",$1500.00,,JAMES BOEHM BOEHM HEATING CO,"1219 BAYARD AVE
Saint Paul, MN
(44.922391, -93.151516)",1
W 15-134921-VEN,"Warm Air, Ventilation & General Sheet ",Inspected,Ventilation Only,Residential Replace,"TUESDAY, JUNE 30, 2015",$300.00,,CHARLES FORREST FORREST HTG INC,"2273 GORDON AVE
Saint Paul, MN
(44.977039, -93.196646)",1
W 15-135085-GSM,"Warm Air, Ventilation & General Sheet ",Inspected,General Sheet Metal,Commercial New,"TUESDAY, JUNE 30, 2015",$400.00,,RICK BINDER BINDER HEATING & A/C INC,"632 EDMUND AVE
Saint Paul, MN
(44.958432, -93.127)",1
B 14-305552-REM,Building Permit,Active/Issued,Commercial,Remodel,"TUESDAY, MARCH 03, 2015",$8500.00,$8500.00,VELOCITEL INC,"745 GRAND AVE
Saint Paul, MN
(44.939948, -93.131677)",1
B 15-013552-RPR,Building Permit,Active/Issued,Residential (Multi-Fam),Repair,"TUESDAY, MARCH 03, 2015",$21590.00,$21590.00,HOME DEPOT AT HOME SERVICES THE,"2221 YOUNGMAN AVE
Saint Paul, MN
(44.902761, -93.158728)",1
B 15-013736-RPR,Building Permit,Active/Issued,2-Family/Duplex,Repair,"TUESDAY, MARCH 03, 2015",$5095.00,$5095.00,Ms KARI VOHS MINNESOTA RUSCO INC,"779 CHEROKEE AVE
Saint Paul, MN
(44.922458, -93.104645)",1
B 15-014786-EXP,Building Permit,Active/Issued,Single Family Dwelling,Express Repair,"TUESDAY, MARCH 03, 2015",,$500.00,IYAWE AND ASSOCIATES CORPORATION,"1019 BURR ST
Saint Paul, MN
(44.971842, -93.079865)",1
B 15-014872-RPR,Building Permit,Active/Issued,Single Family Dwelling,Repair,"TUESDAY, MARCH 03, 2015",$860.00,$860.00,J KOZ GENERAL CONTRACTING INC,"702 WILSON AVE
Saint Paul, MN
(44.952955, -93.066432)",1
B 15-002431-REM,Building Permit,Inspected,Commercial,Remodel,"TUESDAY, MARCH 03, 2015",$55000.00,$55000.00,SY VANG MOUACHEU PAO,"199 PLATO BLVD E -
Saint Paul, MN
(44.939155, -93.079897)",1
B 15-012117-REM,Building Permit,Inspected,Commercial,Remodel,"TUESDAY, MARCH 03, 2015",$134250.00,$134250.00,JACK PARKOS PARKOS CONSTRUCTION COMPANY,"145 UNIVERSITY AVE W - League of Minnesota Cities
Saint Paul, MN
(44.955855, -93.106977)",1
B 15-012778-REM,Building Permit,Inspected,Institutional,Remodel,"TUESDAY, MARCH 03, 2015",$300000.00,$300000.00,Stefanie Weltsch MCGOUGH CONSTRUCTION CO INC,"1895 LAUREL AVE
Saint Paul, MN
(44.945134, -93.180329)",1
B 15-014422-RPR,Building Permit,Inspected,Single Family Dwelling,Repair,"TUESDAY, MARCH 03, 2015",$6544.00,$6544.00,Chad Winter Renewal By Andersen,"2231 KNAPP ST
Saint Paul, MN
(44.978477, -93.194391)",1
B 15-014664-REM,Building Permit,Inspected,Institutional,Remodel,"TUESDAY, MARCH 03, 2015",$30239.00,$30239.00,GREINER CONSTRUCTION INC,"401 PHALEN BLVD - REGIONS EAST SIDE SPECIALTY CENTER
Saint Paul, MN
",1
B 15-014746-RPR,Building Permit,Inspected,Single Family Dwelling,Repair,"TUESDAY, MARCH 03, 2015",$3600.00,$3600.00,Samuel B Paul,"299 AVON ST N
Saint Paul, MN
(44.950152, -93.133218)",1
B 15-014841-EXP,Building Permit,Inspected,Single Family Dwelling,Express Repair,"TUESDAY, MARCH 03, 2015",,$3150.00,STANDARD WATER CONTROL SYSTEMS INC,"1829 STANFORD AVE
Saint Paul, MN
(44.932462, -93.1778)",1
B 15-014843-EXP,Building Permit,Inspected,Single Family Dwelling,Express Repair,"TUESDAY, MARCH 03, 2015",,$5500.00,STANDARD WATER CONTROL SYSTEMS INC,"1491 ASHLAND AVE
Saint Paul, MN
(44.94395, -93.163139)",1
E 15-014589-ELC,Electrical Permit,Active/Issued,Electrical,Residential Repair/Alter,"TUESDAY, MARCH 03, 2015",$200.00,,ST JOSEPH ELECTRIC INC,"565 SIMPSON ST
Saint Paul, MN
(44.957959, -93.163674)",1
E 15-014603-ELC,Electrical Permit,Inspected,Electrical,Residential Repair/Alter,"TUESDAY, MARCH 03, 2015",$1200.00,,South Side Electric Inc,"1910 DAYTON AVE
Saint Paul, MN
(44.947255, -93.181129)",1
E 15-014744-S&C,Electrical Permit,Inspected,Service & Circuits ,Commercial Repair/Alter,"TUESDAY, MARCH 03, 2015",$600.00,,ROSS ELECTRIC CO INC,"954 RICE ST
Saint Paul, MN
(44.970099, -93.105964)",1
M 15-004714-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"TUESDAY, MARCH 03, 2015",$2000.00,,Lawrence D Land,"87 BATTLE CREEK ROAD
Saint Paul, MN
(44.938483, -93.020041)",1
M 15-007693-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"TUESDAY, MARCH 03, 2015",$2600.00,,CORINNE CONDON OWENS COMPANIES INC,"933 JORDAN AVE
Saint Paul, MN
(44.969395, -93.017975)",1
M 15-012257-REF,Mechanical Permit,Active/Issued,Refrigeration,Residential New,"TUESDAY, MARCH 03, 2015",$2000.00,,DAVID FEDERS CENTRAL HEATING & COOLING LLC,"741 JESSIE ST
Saint Paul, MN
(44.96364, -93.077328)",1
M 15-012890-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"TUESDAY, MARCH 03, 2015",$1800.00,,ROBERT UNDERDAHL ASSURED COMFORT HEATING & AIR COND LLC,"403 TOTEM ROAD
Saint Paul, MN
(44.928999, -93.014026)",1
M 15-012893-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"TUESDAY, MARCH 03, 2015",$500.00,,ROBERT UNDERDAHL ASSURED COMFORT HEATING & AIR COND LLC,"403 TOTEM ROAD
Saint Paul, MN
(44.928999, -93.014026)",1
M 15-012895-REF,Mechanical Permit,Active/Issued,Refrigeration,Residential Replace,"TUESDAY, MARCH 03, 2015",$2200.00,,ROBERT UNDERDAHL ASSURED COMFORT HEATING & AIR COND LLC,"403 TOTEM ROAD
Saint Paul, MN
(44.928999, -93.014026)",1
M 15-013310-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"TUESDAY, MARCH 03, 2015",$400.00,,JAMES BOEHM BOEHM HEATING CO,"1168 THOMAS AVE
Saint Paul, MN
(44.959367, -93.149662)",1
M 15-013320-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"TUESDAY, MARCH 03, 2015",$300.00,,BRIAN NERISON KB SERVICE CO INC,"1356 ARLINGTON AVE E
Saint Paul, MN
(44.984781, -93.043461)",1
M 15-013537-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"TUESDAY, MARCH 03, 2015",$13900.00,,LAURA FOSCHIATTI BLUE OX HEATING & AIR LLC,"1 HEATHER PLACE
Saint Paul, MN
(44.939233, -93.121713)",1
M 15-013539-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"TUESDAY, MARCH 03, 2015",$500.00,,LAURA FOSCHIATTI BLUE OX HEATING & AIR LLC,"1 HEATHER PLACE
Saint Paul, MN
(44.939233, -93.121713)",1
M 15-013567-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"TUESDAY, MARCH 03, 2015",$500.00,,RICKY ANDERSON ANDERSON'S RESIDENTIAL HEATING & A/C INC,"1761 REANEY AVE
Saint Paul, MN
(44.964006, -93.026261)",1
M 15-013682-STM,Mechanical Permit,Active/Issued,Steam or Hot Water,Residential Replace,"TUESDAY, MARCH 03, 2015",$4200.00,,JAMES BOEHM BOEHM HEATING CO,"1746 PINEHURST AVE
Saint Paul, MN
(44.918851, -93.173774)",1
M 15-013688-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"TUESDAY, MARCH 03, 2015",$16700.00,,JAMES BOEHM BOEHM HEATING CO,"1746 PINEHURST AVE
Saint Paul, MN
(44.918851, -93.173774)",1
M 15-013702-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"TUESDAY, MARCH 03, 2015",$200.00,,DAVID REILAND METRO HEATING AND COOLING LLC,"1781 BUSH AVE
Saint Paul, MN
(44.964917, -93.025525)",1
M 15-013884-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"TUESDAY, MARCH 03, 2015",$6200.00,,LAURA FOSCHIATTI BLUE OX HEATING & AIR LLC,"726 SHERWOOD AVE
Saint Paul, MN
(44.9838, -93.069872)",1
M 15-013894-REF,Mechanical Permit,Active/Issued,Refrigeration,Residential Replace,"TUESDAY, MARCH 03, 2015",$5600.00,,LAURA FOSCHIATTI BLUE OX HEATING & AIR LLC,"726 SHERWOOD AVE
Saint Paul, MN
(44.9838, -93.069872)",1
M 15-014100-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"TUESDAY, MARCH 03, 2015",$1400.00,,CENTRAIRE HEATING & AIR CONDITIONING INC,"372 SIDNEY ST E
Saint Paul, MN
(44.923947, -93.069769)",1
M 15-014140-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"TUESDAY, MARCH 03, 2015",$390.00,,JAMES BOEHM BOEHM HEATING CO,"1478 ALMOND AVE
Saint Paul, MN
(44.979154, -93.162698)",1
M 15-010896-GAS,Mechanical Permit,Inspected,Gas,Residential Replace,"TUESDAY, MARCH 03, 2015",$12855.00,,Mr Eric Mattren APOLLO HEATING AND VENTILATING,"674 ORANGE AVE E
Saint Paul, MN
(44.979266, -93.072124)",1
M 15-012231-GAS,Mechanical Permit,Inspected,Gas,Residential New,"TUESDAY, MARCH 03, 2015",$2000.00,,DAVID FEDERS CENTRAL HEATING & COOLING LLC,"741 JESSIE ST
Saint Paul, MN
(44.96364, -93.077328)",1
M 15-013180-REF,Mechanical Permit,Inspected,Refrigeration,Residential Replace,"TUESDAY, MARCH 03, 2015",$500.00,,LAURA FOSCHIATTI BLUE OX HEATING & AIR LLC,"265 BURLINGTON ROAD
Saint Paul, MN
(44.930975, -93.013312)",1
M 15-013249-GAS,Mechanical Permit,Inspected,Gas,Residential Repair/Alter,"TUESDAY, MARCH 03, 2015",$200.00,,STEVE KUZJ PERFECTION HTG & A/C,"599 JESSAMINE AVE E
Saint Paul, MN
(44.974736, -93.075069)",1
M 15-013279-STM,Mechanical Permit,Inspected,Steam or Hot Water,Residential Replace,"TUESDAY, MARCH 03, 2015",$12855.00,,Mr Eric Mattren APOLLO HEATING AND VENTILATING,"674 ORANGE AVE E
Saint Paul, MN
(44.979266, -93.072124)",1
M 15-013285-GAS,Mechanical Permit,Inspected,Gas,Commercial Replace,"TUESDAY, MARCH 03, 2015",$69458.00,,CHRIS RZESZUTEK HARRIS MECHANICAL,"818 VANDALIA ST
Saint Paul, MN
(44.965649, -93.18894)",1
M 15-014444-GAS,Mechanical Permit,Inspected,Gas,Residential New,"TUESDAY, MARCH 03, 2015",$325000.00,,Mr CARY WENZEL WENZEL PLYMOUTH PLUMBING LLC,"470 WESTERN AVE N - Western U Plaza
Saint Paul, MN
",1
M 15-014451-STM,Mechanical Permit,Inspected,Steam or Hot Water,Residential New,"TUESDAY, MARCH 03, 2015",$325000.00,,Mr CARY WENZEL WENZEL PLYMOUTH PLUMBING LLC,"470 WESTERN AVE N - Western U Plaza
Saint Paul, MN
",1
PG 15-011749-GSF,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Gasfitting Only,Commercial Replace,"TUESDAY, MARCH 03, 2015",$18000.00,,LYNN BISHOP NAC MECHANICAL & ELECTRICAL SERVICES,"1983 DAYTON AVE - St Mark's School
Saint Paul, MN
",1
PG 15-013447-PLB,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Plumbing/Inside Water (All),Residential Replace,"TUESDAY, MARCH 03, 2015",$200.00,,KEITH HOLL HOLL-TEC INSTALLATION LLC,"465 EDMUND AVE
Saint Paul, MN
(44.958455, -93.119817)",1
PG 15-013616-PLB,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Plumbing/Inside Water (All),Residential Replace,"TUESDAY, MARCH 03, 2015",$500.00,,CHARLES GABRELCIK LINN STAR TRANSFER INC,"634 ASHLAND AVE
Saint Paul, MN
(44.944069, -93.126904)",1
PG 15-013831-PLB,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Plumbing/Inside Water (All),Residential Replace,"TUESDAY, MARCH 03, 2015",$3000.00,,JOHN STODOLA ALL STAR PLUMBING LLC,"1196 FARRINGTON ST
Saint Paul, MN
(44.977164, -93.113563)",1
PG 15-014356-PLB,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Plumbing/Inside Water (All),Residential Replace,"TUESDAY, MARCH 03, 2015",$809.00,,WALTER BONFE BONFES PLBG & HTG INC,"110 AMHERST ST
Saint Paul, MN
(44.938544, -93.173718)",1
PG 15-014810-GSF,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Gasfitting Only,Residential Replace,"TUESDAY, MARCH 03, 2015",$600.00,,TIMOTHY LINDHOLM TIMS QUALITY PLUMBING INC,"1560 AMES AVE - Roosevelt Public Housing
Saint Paul, MN
(44.973343, -93.034319)",1
PG 15-013258-PLB,Plumbing/Gasfitting/Inside Water Piping,Inspected,Plumbing/Inside Water (All),Residential Replace,"TUESDAY, MARCH 03, 2015",$2000.00,,ALLAN BOWENS PRIORITY PLUMBING INC,"583 DALE ST N
Saint Paul, MN
(44.958802, -93.12637)",1
PG 15-014070-PLB,Plumbing/Gasfitting/Inside Water Piping,Inspected,Plumbing/Inside Water (All),Residential Replace,"TUESDAY, MARCH 03, 2015",$1500.00,,DAVID KERR TWIN CITY PIPEWORKS,"784 HOLTON ST
Saint Paul, MN
(44.964747, -93.160678)",1
PG 15-014075-GSF,Plumbing/Gasfitting/Inside Water Piping,Inspected,Gasfitting Only,Residential Replace,"TUESDAY, MARCH 03, 2015",$300.00,,Mr Thomas Walters MAG Mechanical,"830 CHARLES AVE
Saint Paul, MN
(44.957516, -93.13523)",1
PG 15-014352-PLB,Plumbing/Gasfitting/Inside Water Piping,Inspected,Plumbing/Inside Water (All),Residential Alter,"TUESDAY, MARCH 03, 2015",$7000.00,,NEIL COUTURE NORTH STAR PLUMBING & HTG CO II,"1344 WHEELER ST S
Saint Paul, MN
(44.90055, -93.174652)",1
W 14-304901-VEN,"Warm Air, Ventilation & General Sheet ",Active/Issued,Ventilation Only,Commercial Repair/Alter,"TUESDAY, MARCH 03, 2015",$3000.00,,SCOTT THEN METRO SHEET METAL INC,"1251 ARUNDEL ST
Saint Paul, MN
(44.979372, -93.118818)",1
W 14-321240-VEN,"Warm Air, Ventilation & General Sheet ",Active/Issued,Ventilation Only,Commercial Repair/Alter,"TUESDAY, MARCH 03, 2015",$3500.00,,JIM VOGELSBERG SAYLER HEATING & AIR CONDITIONING INC,"23 EMPIRE DRIVE - JACKSON STREET SHOPS (RR)
Saint Paul, MN
",1
W 15-013581-WRM,"Warm Air, Ventilation & General Sheet ",Active/Issued,Warm Air Only,Residential Replace,"TUESDAY, MARCH 03, 2015",$3000.00,,BRIAN NERISON KB SERVICE CO INC,"792 PARKVIEW AVE
Saint Paul, MN
(44.983701, -93.13348)",1
W 15-013645-VEN,"Warm Air, Ventilation & General Sheet ",Active/Issued,Ventilation Only,Residential Replace,"TUESDAY, MARCH 03, 2015",$500.00,,Teresa Truong,"1726 HEWITT AVE
Saint Paul, MN
(44.966429, -93.17328)",1
W 15-013807-WRM,"Warm Air, Ventilation & General Sheet ",Active/Issued,Warm Air Only,Residential Replace,"TUESDAY, MARCH 03, 2015",$2600.00,,CORINNE CONDON OWENS COMPANIES INC,"933 JORDAN AVE
Saint Paul, MN
(44.969395, -93.017975)",1
W 15-014102-WRM,"Warm Air, Ventilation & General Sheet ",Active/Issued,Warm Air Only,Residential Replace,"TUESDAY, MARCH 03, 2015",$1400.00,,CENTRAIRE HEATING & AIR CONDITIONING INC,"372 SIDNEY ST E
Saint Paul, MN
(44.923947, -93.069769)",1
W 15-014325-WRM,"Warm Air, Ventilation & General Sheet ",Active/Issued,Warm Air Only,Commercial Replace,"TUESDAY, MARCH 03, 2015",$2050.00,,CHRIS KALLSTROM RESIDENTIAL HEATING & AIR INC,"584 STRYKER AVE
Saint Paul, MN
(44.928279, -93.088079)",1
W 15-014393-WRM,"Warm Air, Ventilation & General Sheet ",Active/Issued,Warm Air Only,Residential Replace,"TUESDAY, MARCH 03, 2015",$3000.00,,BRIAN NERISON KB SERVICE CO INC,"1485 DALE ST N
Saint Paul, MN
(44.98589, -93.126192)",1
W 15-013609-GSM,"Warm Air, Ventilation & General Sheet ",Inspected,General Sheet Metal,Commercial Repair/Alter,"TUESDAY, MARCH 03, 2015",$1200.00,,COMPLETE BASEMENT SYSTEMS,"1119 CHATSWORTH ST N
Saint Paul, MN
(44.974968, -93.14154)",1
W 15-013647-VEN,"Warm Air, Ventilation & General Sheet ",Inspected,Ventilation Only,Commercial Repair/Alter,"TUESDAY, MARCH 03, 2015",$3500.00,,JOHN MATTHEWS AIR CONDITIONING ASSOC INC,"550 VANDALIA ST
Saint Paul, MN
(44.957619, -93.192101)",1
W 15-013668-WRM,"Warm Air, Ventilation & General Sheet ",Inspected,Warm Air Only,Residential Replace,"TUESDAY, MARCH 03, 2015",$6998.00,,CORINNE CONDON OWENS COMPANIES INC,"443 ROSE AVE E
Saint Paul, MN
(44.976467, -93.081765)",1
B 15-005451-REM,Building Permit,Active/Issued,Commercial,Remodel,"TUESDAY, MARCH 10, 2015",$12500.00,$12500.00,Mr Christopher Coughlin T-Mobile,"1515 CLEVELAND AVE N
Saint Paul, MN
(44.986939, -93.187187)",1
B 15-013859-RPR,Building Permit,Active/Issued,Single Family Dwelling,Repair,"TUESDAY, MARCH 10, 2015",$10000.00,$10000.00,Joe Card,"766 POINT DOUGLAS ROAD S
Saint Paul, MN
(44.918177, -93.015355)",1
B 15-014824-REM,Building Permit,Active/Issued,Single Family Dwelling,Remodel,"TUESDAY, MARCH 10, 2015",$3625.00,$3625.00,STANDARD WATER CONTROL SYSTEMS INC,"2032 SHERIDAN AVE
Saint Paul, MN
(44.901641, -93.18647)",1
B 15-015027-RPR,Building Permit,Active/Issued,Single Family Dwelling,Repair,"TUESDAY, MARCH 10, 2015",$4857.00,$4857.00,Ms KARI VOHS MINNESOTA RUSCO INC,"2177 FREMONT AVE
Saint Paul, MN
(44.957647, -93.008929)",1
B 15-015981-RPR,Building Permit,Active/Issued,Commercial,Repair,"TUESDAY, MARCH 10, 2015",$248300.00,$248300.00,JERRY NEUBAUER / DAWN GORACKI CY CON INC,"354 WABASHA ST N - American Burger Bar
Saint Paul, MN
(44.94543, -93.094217)",1
B 15-016561-EXP,Building Permit,Active/Issued,Single Family Dwelling,Express Repair,"TUESDAY, MARCH 10, 2015",,$4000.00,THIS N THAT MAINT INC,"940 SHERBURNE AVE
Saint Paul, MN
(44.956646, -93.139871)",1
B 15-016663-EXP,Building Permit,Active/Issued,Residential (Multi-Fam),Express Repair,"TUESDAY, MARCH 10, 2015",,$15000.00,Karow ROOF COMPANY NA INC,"150 URBAN PLACE
Saint Paul, MN
(44.948124, -93.063761)",1
B 15-016834-RPR,Building Permit,Active/Issued,Single Family Dwelling,Repair,"TUESDAY, MARCH 10, 2015",$3000.00,$3000.00,Steven R Metzler,"737 VAN BUREN AVE
Saint Paul, MN
(44.962045, -93.131252)",1
B 15-016865-EXP,Building Permit,Active/Issued,Single Family Dwelling,Express Repair,"TUESDAY, MARCH 10, 2015",,$15716.00,SEARS HOME IMPROVEMENT PRODUCTS INC,"888 CHARLES AVE
Saint Paul, MN
(44.95752, -93.13767)",1
B 15-012558-REM,Building Permit,Inspected,Institutional,Remodel,"TUESDAY, MARCH 10, 2015",$3519627.00,$3519627.00,KRAUS ANDERSON CONSTRUCTION COMPANY MPLS DIVISION,"640 JACKSON ST - REGIONS HOSPITAL
Saint Paul, MN
(44.954193, -93.09516)",1
B 15-014868-REM,Building Permit,Inspected,Single Family Dwelling,Remodel,"TUESDAY, MARCH 10, 2015",$60000.00,$60000.00,WILLOW BEACH BUILDERS LLC,"834 GOODRICH AVE
Saint Paul, MN
(44.937806, -93.135278)",1
B 15-015015-REM,Building Permit,Inspected,Residential (Multi-Fam),Remodel,"TUESDAY, MARCH 10, 2015",$18000.00,$18000.00,J AND D BUILDERS INC,"806 LINWOOD AVE - Clairwood Condominium
Saint Paul, MN
(44.934676, -93.134179)",1
B 15-015030-RPR,Building Permit,Inspected,Single Family Dwelling,Repair,"TUESDAY, MARCH 10, 2015",$6111.00,$6111.00,JESSE TREBIL FOUNDATION SYSTEMS INC,"1877 BUSH AVE
Saint Paul, MN
(44.964867, -93.019896)",1
B 15-016670-ADD,Building Permit,Inspected,Single Family Dwelling,Addition,"TUESDAY, MARCH 10, 2015",$37092.00,$37092.00,CASTLE BUILDING REMODELING INC,"1636 HAGUE AVE
Saint Paul, MN
(44.945738, -93.169475)",1
B 15-016698-RPR,Building Permit,Inspected,Single Family Dwelling,Repair,"TUESDAY, MARCH 10, 2015",$1500.00,$1500.00,BRUGGEMAN BUILDERS LLC,"2151 FALCON AVE
Saint Paul, MN
(44.937147, -93.009669)",1
